"modelkey";"modelid";"akey";"modelf";"typef";"first_year";"count_runs";"count_years";"lambda_mean";"lambda_min";"lambda_max";"lambda_sd";"lambda_boot_lcl";"lambda_boot_ucl";"lambda_q25";"lambda_q75";"gen_mean";"gen_min";"gen_max";"gen_sd";"gen_boot_lcl";"gen_boot_ucl";"gen_q25";"gen_q75"
63;"poun_female-hunt 2.5%_0.2_3";"poun_female-hunt 2.5%_0.2";"Stochastic equal";"female-hunt 2.5%";0,2;50;101;0,962911300023988;0,956643461727847;0,970780114189579;0,00313575949246484;0,962071915179888;0,963714411219584;0,960688006452345;0,965172171430446;31,3860284128117;25,9189754266905;36,1536337252871;2,57007462856235;30,6417639121751;32,0802259770341;29,6549431287681;32,9647501514105
64;"poun_female-hunt 2.5%_0.2_4";"poun_female-hunt 2.5%_0.2";"Stochastic bad x2";"female-hunt 2.5%";0,2;50;101;0,952202817152531;0,943908746186677;0,958906264487615;0,00359804070104459;0,951203116956546;0,953120872714964;0,949731905405611;0,9546803202459;37,1915895878092;32,1426596547316;43,4412553475386;2,81525213109698;36,4077180290766;37,9885979204684;34,7625181059523;38,9768183441114
65;"poun_female-hunt 2.5%_0.2_5";"poun_female-hunt 2.5%_0.2";"Stochastic worst x4";"female-hunt 2.5%";0,2;50;101;0,943713788680125;0,935300087794615;0,94961501230327;0,00310286734389404;0,942854856460269;0,944577648784946;0,942096314749656;0,945559716509626;42,178242059076;36,2111668409151;49,8190224952918;2,95214335539793;41,3981512476666;42,943449414259;40,0083284195643;44,2226286577233
66;"poun_female-hunt 2.5%_0.3_1";"poun_female-hunt 2.5%_0.3";"Deterministic";"female-hunt 2.5%";0,3;1;101;1,02216370960387;1,02216370960387;1,02216370960387;NA;NA;NA;1,02216370960387;1,02216370960387;13,613160065491;13,613160065491;13,613160065491;NA;NA;NA;13,613160065491;13,613160065491
67;"poun_female-hunt 2.5%_0.3_2";"poun_female-hunt 2.5%_0.3";"Stochastic uniform";"female-hunt 2.5%";0,3;50;101;1,00393919297732;0,996182646721927;1,01180794346341;0,00395591685632321;1,00294237352168;1,00510849087479;1,00119666662307;1,00667588415856;20,3310487661931;16,0558806271377;25,6562764903847;2,06428209323246;19,7647566387367;20,8877205515911;19,0175637550974;21,4366742546491
68;"poun_female-hunt 2.5%_0.3_3";"poun_female-hunt 2.5%_0.3";"Stochastic equal";"female-hunt 2.5%";0,3;50;101;0,977107232442235;0,968838860107334;0,986141652324681;0,00402295988026477;0,976097239160089;0,978197296923227;0,97445554893899;0,980236100939742;31,2346035577335;26,6749842824979;37,8765594878198;2,51867361168378;30,5593221051762;31,923958403311;29,3013457991148;32,7615157191205
69;"poun_female-hunt 2.5%_0.3_4";"poun_female-hunt 2.5%_0.3";"Stochastic bad x2";"female-hunt 2.5%";0,3;50;101;0,962006220612584;0,950276980917099;0,969546131163597;0,00431128596143269;0,960800639635205;0,963171130047601;0,959465790298447;0,965089439110582;36,8461566459802;32,1554341070639;43,1480882480201;2,49064186726416;36,2218162512457;37,5494358151614;35,2374550131187;38,618444510337
70;"poun_female-hunt 2.5%_0.3_5";"poun_female-hunt 2.5%_0.3";"Stochastic worst x4";"female-hunt 2.5%";0,3;50;101;0,949252170318908;0,938925081167085;0,956725940189204;0,00440763801706921;0,948169117886112;0,950508543491348;0,946560429090764;0,952459020495224;41,6793152783827;34,7310295981167;47,9324089337316;3,28557849266979;40,7698927135183;42,5400552004243;38,8683171232371;43,9106548515778
71;"poun_female-hunt 2.5%_0.4_1";"poun_female-hunt 2.5%_0.4";"Deterministic";"female-hunt 2.5%";0,4;1;101;1,04701688216965;1,04701688216965;1,04701688216965;NA;NA;NA;1,04701688216965;1,04701688216965;12,7566543564327;12,7566543564327;12,7566543564327;NA;NA;NA;12,7566543564327;12,7566543564327
72;"poun_female-hunt 2.5%_0.4_2";"poun_female-hunt 2.5%_0.4";"Stochastic uniform";"female-hunt 2.5%";0,4;50;101;1,02407312256128;1,00731621001433;1,03277475091924;0,00569835282769536;1,0225373616002;1,02550941645419;1,02070043146644;1,02807053049403;19,8939978658103;16,0325449703832;25,4896075106244;2,01624587375168;19,3000142339323;20,4403173082851;18,5816559562271;20,7082195402779
73;"poun_female-hunt 2.5%_0.4_3";"poun_female-hunt 2.5%_0.4";"Stochastic equal";"female-hunt 2.5%";0,4;50;101;0,989742025537237;0,976747531086927;1,00261198958911;0,00674760701295224;0,987862511844378;0,991724497159728;0,986017748126102;0,9955232914576;31,1792775858396;25,8067477119801;36,5317586576149;2,72707462236166;30,4520332584961;31,8936748840791;29,5249304403048;33,2693884187353
74;"poun_female-hunt 2.5%_0.4_4";"poun_female-hunt 2.5%_0.4";"Stochastic bad x2";"female-hunt 2.5%";0,4;50;101;0,970846134740591;0,960789580239945;0,984753920730544;0,00638902416893432;0,969148062287731;0,972642474986021;0,966361040655263;0,975409638512177;36,4025108260732;30,1130377803221;43,188640885939;3,11049436804747;35,5644894769078;37,2130836357973;34,3658587484092;38,3679165904375
75;"poun_female-hunt 2.5%_0.4_5";"poun_female-hunt 2.5%_0.4";"Stochastic worst x4";"female-hunt 2.5%";0,4;50;101;0,95445594864502;0,945865083769762;0,965807569054926;0,0044191272055283;0,953251013699193;0,955682014075462;0,951736029109468;0,956726603704323;41,5717812400741;35,0001391511205;45,8569856473057;2,65866901807935;40,7769975902936;42,2423951247257;40,3295326362931;43,5982803126901
